"source_platform","item_id","keywords","product_url","product_title","detail_title","search_price_text","detail_price_text","shop_name","shop_url","location","sales_text","image_url","model","brand","control_system","payment_method","theme_style","color_category","origin_place","applicable_scene","applicable_age","device_type","applicable_gender","attributes_json","collected_at","capture_status","capture_note"
"taobao","726100694767","娃娃机配件","https://item.taobao.com/item.htm?abbucket=7&id=726100694767&mi_id=0000CUVisTBMY5PSQH9zdxSjUyExfa3D1tRDzmBO8jUs2IA&ns=1&priceTId=2147850917835908020068158e0fe9&skuId=5037179480266&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%22535ecfac050ee22ebc6358572b791d2d%22%7D&xxc=taobaoSearch","娃娃机线圈抓烟糖果夹公仔游戏机天车配件耐高温电磁铁爪子铜线圈 14-60岁 游戏机 娃娃机","娃娃机线圈抓烟糖果夹公仔游戏机天车配件耐高温电磁铁爪子铜线圈","¥ 40","￥40","11年老店 劲恒动漫科技1号店","https://store.taobao.com/category.htm?appUid=RAzN8HWLs2NxqWf5qSm9qEtFQF3D99SrCfodnqHsS5orMtKjNwT&spm=a21n57.1.item.2","广东","付款","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/782508385/O1CN01wDeUJX2BoNrflXSRH_!!782508385.jpg_460x460q90.jpg_.webp","线圈","劲恒","游戏机","","","","中国大陆","通用","14-60岁","娃娃机","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""中国大陆"", ""品牌"": ""劲恒"", ""适用场景"": ""通用"", ""适用年龄段"": ""14-60岁"", ""设备种类"": ""娃娃机"", ""型号"": ""线圈"", ""控制系统"": ""游戏机""}","2026-07-09 18:01:52","success",""
"taobao","524651656917","投币器、娃娃机配件","https://item.taobao.com/item.htm?abbucket=7&id=524651656917&mi_id=0000zTXSjOL_yT4a_KSqwWu81BD8CCdqsyMir1QYUr7c8gc&ns=1&priceTId=2147850917835908020068158e0fe9&skuId=5769554853299&spm=a21n57.1.item.3&utparam=%7B%22aplus_abtest%22%3A%2248441ab7367bd4c92d5e2769c12b90eb%22%7D&xxc=taobaoSearch","通利TW131游戏机投币器娃娃机摇摇车商用通用配件比较式侧投新款 6-80岁 游艺机 投币","通利TW131游戏机投币器娃娃机摇摇车商用通用配件比较式侧投新款","¥ 10","￥10","12年老店 广州铭盛科技","https://store.taobao.com/category.htm?appUid=RAzN8HWKk3sRoDXjQuM39YjpCDy4FPwFV6NgEUdjTohUR1TMEZ7&spm=a21n57.1.item.3","广东","付款","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/474375678/O1CN010ZdbHl1roZyg3yMqJ_!!474375678.png_460x460q90.jpg_.webp","TW-131","通利","游艺机","投币","动漫","TW131银色,TW131W白色,TW131Y黄色,TW131K黑色,JY133A银色,JY133A黄色,JY133A白色,TW136银色,TW136W白色,TW136K黑色,4P侧投线5条,投币器七彩边框-变色款,投币器七彩边框-跑马灯转圈款","广州番禺","电玩城","6-80岁","娃娃机","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""广州番禺"", ""品牌"": ""通利"", ""适用场景"": ""电玩城"", ""适用年龄段"": ""6-80岁"", ""设备种类"": ""娃娃机"", ""型号"": ""TW-131"", ""支付方式"": ""投币"", ""控制系统"": ""游艺机"", ""主题风格"": ""动漫"", ""颜色分类"": ""TW131银色,TW131W白色,TW131Y黄色,TW131K黑色,JY133A银色,JY133A黄色,JY133A白色,TW136银色,TW136W白色,TW136K黑色,4P侧投线5条,投币器七彩边框-变色款,投币器七彩边框-跑马灯转圈款""}","2026-07-09 18:01:52","success",""
"taobao","24336968762","投币器","https://item.taobao.com/item.htm?abbucket=7&id=24336968762&mi_id=0000V_KiBTTi0DWSPjtenieRT0M-sIpvOeFANfzeycLc7_o&ns=1&priceTId=2147850917835908128228879e0fe9&skuId=3448168249916&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%22059905afd0dcd21ba1ff3755c0e18395%22%7D&xxc=taobaoSearch","【通利正品】 通利TW-131侧投投币器 大型游戏机CPU比较式投币器 8岁 男女通用","【通利正品】 通利TW-131侧投投币器 大型游戏机CPU比较式投币器","¥ 32","￥32.7","13年老店 漫立方动漫配件1号店","https://store.taobao.com/category.htm?appUid=RAzN8HWYJsLHE3v95x4DyVMTSrp3xSpS3vKCC8PaSv1cZjV2Svm&spm=a21n57.1.item.2","广东","付款","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/849610736/O1CN01fYLMms1HJ85geG0OS_!!849610736.jpg_460x460q90.jpg_.webp","TW--131","通利","","","","银色通利投币器（一个包邮）,银色通利131投币器（一个包邮）,银色 2个包邮（数量填2件）,银色 3个包邮（数量填3件）,银色 4个包邮（数量填4件）,银色 5个包邮（数量填5以上）,银色 10个包邮（数量填10以上）,银色 30个以上批发（单个价）数量填写30个以上,黄色通利投币器（一个包邮）,黄色 2个包邮（数量填2件）,黄色 3个包邮（数量填3件）,黄色 4个包邮（数量填4件）,黄色 5个包邮（数量填5以上）,黄色 10个包邮（数量填10以上）,黄色 30个以上批发（单个价）数量填写30个以上,投币器（4P接口线）30条总价如需单买咨询客服,（拍错分类默认到付运费）数量按照要求填写,银色：：TL-131银投币器+接口线,黄色：TL-131黄投币器 + 接口线,TL-131黄投币器+接口线数量填写5个以上,TL-131银色投币器+接口线数量填写5个以上","","","8岁","","男女通用","{""适用性别"": ""男女通用"", ""品牌"": ""通利"", ""适用年龄段"": ""8岁"", ""型号"": ""TW--131"", ""颜色分类"": ""银色通利投币器（一个包邮）,银色通利131投币器（一个包邮）,银色 2个包邮（数量填2件）,银色 3个包邮（数量填3件）,银色 4个包邮（数量填4件）,银色 5个包邮（数量填5以上）,银色 10个包邮（数量填10以上）,银色 30个以上批发（单个价）数量填写30个以上,黄色通利投币器（一个包邮）,黄色 2个包邮（数量填2件）,黄色 3个包邮（数量填3件）,黄色 4个包邮（数量填4件）,黄色 5个包邮（数量填5以上）,黄色 10个包邮（数量填10以上）,黄色 30个以上批发（单个价）数量填写30个以上,投币器（4P接口线）30条总价如需单买咨询客服,（拍错分类默认到付运费）数量按照要求填写,银色：：TL-131银投币器+接口线,黄色：TL-131黄投币器 + 接口线,TL-131黄投币器+接口线数量填写5个以上,TL-131银色投币器+接口线数量填写5个以上""}","2026-07-09 18:01:52","success",""
"taobao","578769181176","出票器","https://item.taobao.com/item.htm?abbucket=7&id=578769181176&mi_id=0000e9pedP_DzT592OQK5LvW1XuqGKMvVRQEBvlWvgqi3PM&ns=1&priceTId=2147850917835908234941604e0fe9&skuId=6223330142330&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%22485da277caabc0c866a72e40ab68b54b%22%7D&xxc=taobaoSearch","PY-001五代彩票器 游戏机高速出票器 防卡纸长短票通用 现货速发 8-80岁 游艺机 动漫","PY-001五代彩票器 游戏机高速出票器 防卡纸长短票通用 现货速发","¥ 12","￥12","12年老店 广州铭盛科技","https://store.taobao.com/category.htm?appUid=RAzN8HWKk3sRoDXjQuM39YjpCDy4FPwFV6NgEUdjTohUR1TMEZ7&spm=a21n57.1.item.2","广东","付款","https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/474375678/O1CN01cx82on1roZyhIVGsF_!!474375678.png_460x460q90.jpg_.webp","JY001出票器","旭漫盛","游艺机","","动漫","","广州番禺","电玩城","8-80岁","其他","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""广州番禺"", ""品牌"": ""旭漫盛"", ""适用场景"": ""电玩城"", ""适用年龄段"": ""8-80岁"", ""型号"": ""JY001出票器"", ""设备种类"": ""其他"", ""控制系统"": ""游艺机"", ""主题风格"": ""动漫""}","2026-07-09 18:01:52","success",""
"taobao","734063520702","出票器","https://item.taobao.com/item.htm?abbucket=7&id=734063520702&mi_id=00001pu7PKoCo2Sl-GbJ9_2DOnFWSBYp2JISU_tmCoyiAuk&ns=1&priceTId=2147850917835908234941604e0fe9&skuId=5251660111937&spm=a21n57.1.item.3&utparam=%7B%22aplus_abtest%22%3A%2211f2c8ff15caef73a78213fabf185032%22%7D&xxc=taobaoSearch","游戏机出票器内置型PY-001彩票器退长短彩票纸积分兑奖票换礼品 14岁以上 男女通用","游戏机出票器内置型PY-001彩票器退长短彩票纸积分兑奖票换礼品","¥ 40","￥40","漫立方动漫游艺配件总店","https://store.taobao.com/category.htm?appUid=RAzN8HWKYYNpVCj5825ToQ4fJxr6S46X2XNquwFJFqRmjZ734w6&spm=a21n57.1.item.3","广东","付款","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3971616539/O1CN01qX5HxK1yAujxyxFIM_!!3971616539.jpg_460x460q90.jpg_.webp","PY-001","other/其他","","","","PY-001无面板：带线","","","14岁以上","","男女通用","{""适用性别"": ""男女通用"", ""适用年龄段"": ""14岁以上"", ""品牌"": ""other/其他"", ""型号"": ""PY-001"", ""颜色分类"": ""PY-001无面板：带线""}","2026-07-09 18:01:52","success",""
"taobao","623768049655","彩票机配件","https://item.taobao.com/item.htm?abbucket=7&id=623768049655&mi_id=0000MRyzh_3s_eT9Cxw15XnJe5oMWpfK3NXjZgojhqexGqg&ns=1&priceTId=2147850917835908342152317e0fe9&skuId=4807514186192&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%2246ad2515c73046d0a407e37004f2466d%22%7D&xxc=taobaoSearch","通利速锐TL-001彩票器面板全套配件 外壳/挡片/清零板/主板/支架 6-80岁 游艺机 动漫","通利速锐TL-001彩票器面板全套配件 外壳/挡片/清零板/主板/支架","¥ 6","￥6","12年老店 广州铭盛科技","https://store.taobao.com/category.htm?appUid=RAzN8HWKk3sRoDXjQuM39YjpCDy4FPwFV6NgEUdjTohUR1TMEZ7&spm=a21n57.1.item.2","广东","付款","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/474375678/O1CN014mw3bs1roZyhbGSDp_!!474375678.png_460x460q90.jpg_.webp","彩票器配件","通利","游艺机","","动漫","","广州番禺","电玩城","6-80岁","其他","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""广州番禺"", ""品牌"": ""通利"", ""适用场景"": ""电玩城"", ""适用年龄段"": ""6-80岁"", ""型号"": ""彩票器配件"", ""设备种类"": ""其他"", ""控制系统"": ""游艺机"", ""主题风格"": ""动漫""}","2026-07-09 18:01:52","success",""
"taobao","906738603703","彩票机配件","https://item.taobao.com/item.htm?abbucket=7&id=906738603703&mi_id=0000NyYA-QR2mmDSZsblf7E9gYgnPzduefxXm4eEtBBojGw&ns=1&priceTId=2147850917835908342152317e0fe9&skuId=5935614043213&spm=a21n57.1.item.3&utparam=%7B%22aplus_abtest%22%3A%22c3121b416cd9b56227e1fe52462ef12c%22%7D&xxc=taobaoSearch","彩票器配件面板速锐X4外壳TL-001B出票器配件 游戏机出票器清0板 14岁以上 男女通用","彩票器配件面板速锐X4外壳TL-001B出票器配件 游戏机出票器清0板","¥ 4","平台加补后￥4.9优惠前￥5","12年老店 广州华靓科技游戏机配件","https://store.taobao.com/category.htm?appUid=RAzN8HWYorMUKqKqsaffhmXiqWwUsnarDHo6HSmEvAxHg4DYrBK&spm=a21n57.1.item.3","广东","付款","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2123380851/O1CN01uzYt0S1I9o6AF0OhA_!!2123380851.jpg_460x460q90.jpg_.webp","速锐","彩票器","","","","外壳一对,固定支架,电机,清票板,拉票板,小齿轮,主板,拆机小外壳,大齿轮,拆机彩票器,拆机彩票器带面板,全彩票器","","","14岁以上","","男女通用","{""适用性别"": ""男女通用"", ""品牌"": ""彩票器"", ""适用年龄段"": ""14岁以上"", ""型号"": ""速锐"", ""颜色分类"": ""外壳一对,固定支架,电机,清票板,拉票板,小齿轮,主板,拆机小外壳,大齿轮,拆机彩票器,拆机彩票器带面板,全彩票器""}","2026-07-09 18:01:52","success",""
"taobao","744056863213","游戏机按钮","https://item.taobao.com/item.htm?abbucket=7&id=744056863213&mi_id=0000Pu3isT9UYg3ylPMGvTr-ou_Lrtlgm_79DvMwOr-6urs&ns=1&priceTId=2147850917835908448622990e0fe9&skuId=5299984370609&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%22ede1f70adaba5ed04fdaef2a65f79b4e%22%7D&xxc=taobaoSearch","游戏机配件卡式按钮30MM透明按钮多色月光宝盒潘多拉街机格斗按键 9岁 街机 男女通用","游戏机配件卡式按钮30MM透明按钮多色月光宝盒潘多拉街机格斗按键","¥ 13","平台加补后￥13.58优惠前￥14","广喜动漫游戏配件经营部","https://store.taobao.com/category.htm?appUid=RAzN8HWJNsUgxiPZQH5B7oiG9HjayEvLG8YviofnuPyKssvdM3q&spm=a21n57.1.item.2","广东","付款","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2216783466077/O1CN01Mvfc4b1ulJmVyuHI8_!!2216783466077.jpg_460x460q90.jpg_.webp","30卡式按键","other/其他","","","","30#透明卡式黑色按键10个,30#透明卡式黄色按键10个,30#透明卡式绿色按键10个,30#全透明卡式色按键10个,30#透明卡式蓝色按键10个,30#透明卡式红色按键10个,30#透明卡式白色按键10个","中国大陆","","12个月,14岁以上,18个月,2岁,3岁,4岁,5岁,6岁,7岁,8岁,9岁,10岁,11岁,12岁,13岁,14岁","街机","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""中国大陆"", ""适用年龄段"": ""12个月,14岁以上,18个月,2岁,3岁,4岁,5岁,6岁,7岁,8岁,9岁,10岁,11岁,12岁,13岁,14岁"", ""设备种类"": ""街机"", ""品牌"": ""other/其他"", ""型号"": ""30卡式按键"", ""颜色分类"": ""30#透明卡式黑色按键10个,30#透明卡式黄色按键10个,30#透明卡式绿色按键10个,30#全透明卡式色按键10个,30#透明卡式蓝色按键10个,30#透明卡式红色按键10个,30#透明卡式白色按键10个""}","2026-07-09 18:01:52","success",""
"taobao","533705555447","游戏机按钮","https://item.taobao.com/item.htm?abbucket=7&id=533705555447&mi_id=0000tdp-rEBbcRQt8uxln9J7LzgE-FbA08OYywsha5p8HRU&ns=1&priceTId=2147850917835908448622990e0fe9&skuId=3275010381055&spm=a21n57.1.item.3&utparam=%7B%22aplus_abtest%22%3A%225f79721ccd8cca80341e82a5fa8c101b%22%7D&xxc=taobaoSearch","100mm自复位按键抢答器好声音挑战10秒按钮游戏机开关10cm特大号 12-60岁 按钮 投币","100mm自复位按键抢答器好声音挑战10秒按钮游戏机开关10cm特大号","¥ 6","￥6.99","粤巨星1号店","https://store.taobao.com/category.htm?appUid=RAzN8HWUh6Sbf89qNyTNx5GqNxJT8C651uyinxFwCUGTy9KbgLZ&spm=a21n57.1.item.3","广东","付款","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/458271031/O1CN01mxsVYI1JUFFupYCDI_!!458271031.jpg_460x460q90.jpg_.webp","100mm","漫京星","按钮","投币","动漫","","中国大陆","儿童乐园","12-60岁","娃娃机","男女通用","{""适用性别"": ""男女通用"", ""产地"": ""中国大陆"", ""品牌"": ""漫京星"", ""适用场景"": ""儿童乐园"", ""适用年龄段"": ""12-60岁"", ""设备种类"": ""娃娃机"", ""型号"": ""100mm"", ""支付方式"": ""投币"", ""控制系统"": ""按钮"", ""主题风格"": ""动漫""}","2026-07-09 18:01:52","success",""
"taobao","871173048265","游戏机摇杆","https://detail.tmall.com/item.htm?abbucket=7&id=871173048265&mi_id=0000IgOoEn7DM39Ab4GyFbl1gXJio1wuPyHrclPcF0-u0QE&ns=1&priceTId=2147850917835908555893659e0fe9&skuId=6148704238103&spm=a21n57.1.item.2&utparam=%7B%22aplus_abtest%22%3A%224045089fb000c0521288efeb64102ec2%22%7D&xxc=taobaoSearch","潘多拉王牌摇杆街机游戏机连接电视家用格斗怀旧双人月光一体无线电竞宝盒王便携带屏幕折叠2026新款手柄 1080p 中国大陆 HDMI 2.1","潘多拉王牌摇杆街机游戏机连接电视家用格斗怀旧双人月光一体无线电竞宝盒王便携带屏幕折叠2026新款手柄-tmall.com天猫","¥ 260","店铺优惠后￥260优惠前￥296","潘多拉王牌旗舰店","https://store.taobao.com/category.htm?appUid=RAzN8HWX9LEfEmooREAZ1WJAvwfTjpeV7Wpp39wu8ZkTGe8JBKo&spm=a21n57.1.item.2","广东","付款","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2218811835597/O1CN01YU4fvF1rDTrig8nTB_!!4611686018427380941-0-item_pic.jpg_460x460q90.jpg_.webp","PDL-687","潘多拉王牌","","","","【全部发顺丰】天猫店 售后有保障 【品牌声明】购买认准唯一官方旗舰店 【行业荣誉4榜单】为用户提供优选摇杆街机 【冠军推荐】品质甄选 董鎏莹推荐 潘多拉电竞X3【3.2万款游戏】全部顺丰速发 潘多拉电竞X3带2个有线手柄⭐认准天猫⭐ ✅顶配潘多拉电竞X5【3.5万游戏+改版游戏+存档连发】⭐ ✅顶配潘多拉电竞X5【改版游戏+存档连发】+有线手柄 ✅顶配潘多拉电竞X5【改版游戏+存档连发】+无线手柄 ✅顶配潘多拉电竞X5+装赛级摇杆 ✅顶配潘多拉电竞X5+无线手柄+装赛级摇杆 顶配-潘多拉电竞X5+无线手柄+装赛级摇杆按键 【以下为WIFI款 可下载游戏】 ✅顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】 顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+无线手柄 顶配潘多拉闪电WIFI+无线手柄+装赛级摇杆 顶配闪电WIFI+无线手柄+装赛级摇杆按键 顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】 顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】+无线手柄 顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆 顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆按键 【以下为无线摇杆】 【✅无线摇杆-一体】顶配电竞X7【自带3万游戏】 【无线摇杆-一体】顶配电竞X7自带3万游戏】+无线手柄 【无线摇杆-一体】顶配电竞X7+无线手柄-装赛级摇杆 【无线摇杆-一体】顶配电竞X7+无线手柄-装赛级摇杆按键 【✅无线摇杆-分体】顶配潘多拉电竞X7【3万游戏+改版游戏+存档连发】 【无线摇杆-分体】顶配潘多拉电竞X7【3万游戏+改版游戏+存档连发】+无线手柄 【无线摇杆-分体】顶配潘多拉电竞X7+无线手柄-装赛级摇杆 【无线摇杆-分体】顶配潘多拉电竞X7+无线手柄-装赛级摇杆按键 【以下为分体机】 分体顶配-潘多拉电竞X5【3.5万游戏+存档连发+新增改版游戏】 分体-顶配潘多拉电竞X5【3.5万游戏+改版游戏+存档连发】+有线手柄 分体顶配-潘多拉电竞X5【3.5万游戏+存档连发+新增改版游戏】带无线手柄 分体-顶配潘多拉电竞X5+无线手柄+装赛级摇杆 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+有线手柄 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+无线手柄 分体-闪电WIFI+无线手柄+装赛级摇杆 分体-顶配潘多拉闪电WIFI+无线手柄+赛级摇杆按键 分体-顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】 分体-顶配-超清-潘多拉王牌WIFI【2.3万游戏】+有线手柄 分体-顶配-超清-潘多拉王牌WIFI【可WIFI下载游戏】+无线手柄 分体-顶配-超清-潘多拉王牌WIFI+无线手柄+赛级摇杆 分体-顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆按键 单人机","","","","","","{""品牌"": ""潘多拉王牌"", ""型号"": ""PDL-687"", ""颜色分类"": ""【全部发顺丰】天猫店 售后有保障 【品牌声明】购买认准唯一官方旗舰店 【行业荣誉4榜单】为用户提供优选摇杆街机 【冠军推荐】品质甄选 董鎏莹推荐 潘多拉电竞X3【3.2万款游戏】全部顺丰速发 潘多拉电竞X3带2个有线手柄⭐认准天猫⭐ ✅顶配潘多拉电竞X5【3.5万游戏+改版游戏+存档连发】⭐ ✅顶配潘多拉电竞X5【改版游戏+存档连发】+有线手柄 ✅顶配潘多拉电竞X5【改版游戏+存档连发】+无线手柄 ✅顶配潘多拉电竞X5+装赛级摇杆 ✅顶配潘多拉电竞X5+无线手柄+装赛级摇杆 顶配-潘多拉电竞X5+无线手柄+装赛级摇杆按键 【以下为WIFI款 可下载游戏】 ✅顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】 顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+无线手柄 顶配潘多拉闪电WIFI+无线手柄+装赛级摇杆 顶配闪电WIFI+无线手柄+装赛级摇杆按键 顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】 顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】+无线手柄 顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆 顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆按键 【以下为无线摇杆】 【✅无线摇杆-一体】顶配电竞X7【自带3万游戏】 【无线摇杆-一体】顶配电竞X7自带3万游戏】+无线手柄 【无线摇杆-一体】顶配电竞X7+无线手柄-装赛级摇杆 【无线摇杆-一体】顶配电竞X7+无线手柄-装赛级摇杆按键 【✅无线摇杆-分体】顶配潘多拉电竞X7【3万游戏+改版游戏+存档连发】 【无线摇杆-分体】顶配潘多拉电竞X7【3万游戏+改版游戏+存档连发】+无线手柄 【无线摇杆-分体】顶配潘多拉电竞X7+无线手柄-装赛级摇杆 【无线摇杆-分体】顶配潘多拉电竞X7+无线手柄-装赛级摇杆按键 【以下为分体机】 分体顶配-潘多拉电竞X5【3.5万游戏+存档连发+新增改版游戏】 分体-顶配潘多拉电竞X5【3.5万游戏+改版游戏+存档连发】+有线手柄 分体顶配-潘多拉电竞X5【3.5万游戏+存档连发+新增改版游戏】带无线手柄 分体-顶配潘多拉电竞X5+无线手柄+装赛级摇杆 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+有线手柄 分体-顶配潘多拉闪电WIFI【2万游戏+可WIFI下载游戏】+无线手柄 分体-闪电WIFI+无线手柄+装赛级摇杆 分体-顶配潘多拉闪电WIFI+无线手柄+赛级摇杆按键 分体-顶配-超清-潘多拉王牌WIFI【2.3万游戏+可WIFI下载游戏】 分体-顶配-超清-潘多拉王牌WIFI【2.3万游戏】+有线手柄 分体-顶配-超清-潘多拉王牌WIFI【可WIFI下载游戏】+无线手柄 分体-顶配-超清-潘多拉王牌WIFI+无线手柄+赛级摇杆 分体-顶配-超清-潘多拉王牌WIFI+无线手柄+装赛级摇杆按键 单人机""}","2026-07-09 18:01:52","success",""
